PMID	date	journal	Country	mesh
6403808	1983	Medical and pediatric oncology	United States	Acute Disease|Blood Cell Count|Blood Proteins|Body Weight|Child|Child, Preschool|Humans|Immunoglobulin A|Immunoglobulin G|Immunoglobulin M|Infant|Leukemia|Parenteral Nutrition|Parenteral Nutrition, Total|Prospective Studies|Skin Tests
6840161	1983	European journal of clinical pharmacology	GERMANY, WEST	Administration, Oral|Adult|Antihypertensive Agents|Blood Pressure|Dose-Response Relationship, Drug|Female|Heart Rate|Humans|Hypertension|Male|Middle Aged|Pyridazines|Time Factors
6318605	1984	Anesthesia and analgesia	UNITED STATES	Adult|Aged|Anesthesia, General|Blood Pressure|Catecholamines|Endorphins|Female|Fentanyl|Humans|Intubation, Intratracheal|Male|Middle Aged|beta-Endorphin
6399698	1984	Clinical & experimental metastasis	ENGLAND	Colonic Neoplasms|Combined Modality Therapy|Follow-Up Studies|Humans|Liver Neoplasms|Neoplasm Metastasis|Piperazines|Razoxane|Rectal Neoplasms|Ultrasonography
6704672	1984	The British journal of radiology	ENGLAND	Contrast Media|Humans|Iopamidol|Iothalamic Acid|Metrizamide|Spinal Nerve Roots|Time Factors
3158903	1985	Presse m?dicale (Paris, France : 1983)	FRANCE	Abdomen|Adult|Aged|Bacteria, Anaerobic|Bacterial Infections|Emergencies|Female|Humans|Male|Metronidazole|Middle Aged|Perfusion|Postoperative Complications|Premedication|Suppositories
3901721	1985	The American journal of cardiology	UNITED STATES	Adolescent|Adult|Atenolol|Clinical Trials as Topic|Female|Heart Rate|Humans|Male|Middle Aged|Mitral Valve Stenosis|Physical Exertion|Prospective Studies|Sinoatrial Node
4001769	1985	Tropical medicine and parasitology : official organ of Deutsche Tropenmedizinische Gesellschaft and of Deutsche Gesellschaft f?r Technische Zusammenarbeit (GTZ)	United States	Adult|Benzimidazoles|Eye Diseases|Fluorescein Angiography|Ghana|Humans|Levamisole|Male|Mebendazole|Middle Aged|Onchocerciasis|Skin
2868074	1986	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	UNITED STATES	Aged|Antineoplastic Combined Chemotherapy Protocols|Breast Neoplasms|Clinical Trials as Topic|Cyclophosphamide|Doxorubicin|Female|Fluorouracil|Humans|Liver Neoplasms|Menopause|Methotrexate|Middle Aged|Prognosis|Random Allocation|Receptors, Estrogen|Tamoxifen|Vincristine
3096063	1986	Acta anaesthesiologica Scandinavica	DENMARK	Analgesia|Carbon Dioxide|Humans|Injections, Epidural|Injections, Intramuscular|Morphine Derivatives|Nicotinic Acids|Pain, Postoperative|Respiration|Respiratory Function Tests|Thoracic Surgery
3531953	1986	Oncology	SWITZERLAND	Bone Neoplasms|Breast Neoplasms|Calcitonin|Calcium|Clinical Trials as Topic|Double-Blind Method|Drug Evaluation|Female|Humans|Injections, Subcutaneous|Middle Aged|Pain, Intractable|Random Allocation
3768639	1986	The British journal of radiology	ENGLAND	Adult|Aged|Aged, 80 and over|Barium|Barium Sulfate|Domperidone|Double-Blind Method|Enema|Female|Gastric Emptying|Humans|Intestine, Small|Male|Metoclopramide|Middle Aged|Sorbitol
2883406	1987	Lancet	ENGLAND	Acute Disease|Adolescent|Adult|Agammaglobulinemia|Child|Chronic Disease|Clinical Trials as Topic|Female|Humans|Immunoglobulin G|Infusions, Intravenous|Lung Diseases|Male|Middle Aged|Respiratory Function Tests
3121465	1987	Haematologica	ITALY	Adolescent|Adult|Antineoplastic Combined Chemotherapy Protocols|Child|Clinical Trials as Topic|Cytarabine|Daunorubicin|Etoposide|Female|Humans|Leukemia|Male|Middle Aged|Thioguanine|Vindesine
3334169	1987	Rivista europea per le scienze mediche e farmacologiche = European review for medical and pharmacological sciences = Revue europ?enne pour les sciences m?dicales et pharmacologiques	ITALY	Adult|Aged|Aged, 80 and over|Clinical Trials as Topic|Colon|Double-Blind Method|Female|Humans|Male|Middle Aged|Prospective Studies|Random Allocation|Rifamycins|Surgical Wound Infection
3585263	1987	The Journal of family practice	UNITED STATES	Administration, Cutaneous|Adolescent|Adult|Anti-Bacterial Agents|Anti-Infective Agents, Local|Blister|Dermatologic Agents|Drug Combinations|Humans|Male|Ointments|Random Allocation|Staphylococcal Skin Infections|Wound Healing|Wound Infection
2447516	1988	N?phrologie	SWITZERLAND	Aged|Biocompatible Materials|Cellulose|Complement System Proteins|Evaluation Studies as Topic|Female|Histamine Release|Humans|Kidneys, Artificial|Male|Membranes, Artificial|Middle Aged|Renal Dialysis
2975684	1988	Journal of affective disorders	NETHERLANDS	Adult|Aldosterone|Atenolol|Clinical Trials as Topic|Depressive Disorder|Double-Blind Method|Estrogens|Female|Humans|Luteal Phase|Premenstrual Syndrome|Progesterone|Random Allocation|Renin
3136831	1988	British medical journal (Clinical research ed.)	ENGLAND	Adult|Aged|Clinical Trials as Topic|Dose-Response Relationship, Drug|Female|Fibrinolysis|Humans|Infusions, Intravenous|Male|Middle Aged|Myocardial Infarction|Random Allocation|Recombinant Proteins|Tissue Plasminogen Activator
3279774	1988	The American journal of medicine	UNITED STATES	Adult|Agranulocytosis|Anti-Bacterial Agents|Bacterial Infections|Ceftazidime|Clinical Trials as Topic|Drug Therapy, Combination|Female|Fever|Humans|Male|Neoplasms|Neutropenia|Piperacillin|Prospective Studies|Random Allocation|Vancomycin
3373404	1988	The Journal of pediatrics	UNITED STATES	Birth Weight|Cerebral Hemorrhage|Double-Blind Method|Female|Humans|Indomethacin|Infant, Newborn|Infant, Premature|Male
2502890	1989	Acta haematologica	SWITZERLAND	Acute Disease|Anemia, Aplastic|Antibodies, Monoclonal|Antilymphocyte Serum|Humans|Leukocyte Count|Leukocytes, Mononuclear|Phenotype|T-Lymphocytes|Time Factors
2567756	1989	The Journal of hospital infection	ENGLAND	Cesarean Section|Denmark|Disinfection|Female|Hospitals|Humans|Multicenter Studies as Topic|Prospective Studies|Random Allocation|Skin|Sterilization|Surgical Wound Infection
2654196	1989	Journal of clinical periodontology	United States	Alveolar Process|Bone Resorption|Color|Densitometry|Humans|Image Interpretation, Computer-Assisted|Osteotomy|Radiographic Image Enhancement|Radiographic Image Interpretation, Computer-Assisted|Subtraction Technique|Wound Healing
2687645	1989	Maturitas	NETHERLANDS	Alkaline Phosphatase|Anabolic Agents|Bone Density|Calcium|Clinical Trials as Topic|Double-Blind Method|Drug Therapy, Combination|Female|Humans|Hydroxyproline|Middle Aged|Nandrolone|Osteoporosis, Postmenopausal|Random Allocation
2768616	1989	Journal of consulting and clinical psychology	UNITED STATES	Attention Deficit Disorder with Hyperactivity|Child|Cohort Studies|Dose-Response Relationship, Drug|Humans|Male|Methylphenidate|Peer Group|Social Behavior
3232498	1989	Acta anaesthesiologica Belgica	BELGIUM	Adult|Double-Blind Method|Female|Humans|Male|Middle Aged|Morphinans|Nalbuphine|Orthopedics|Pain, Postoperative|Pentazocine|Random Allocation
2090473	1990	The European respiratory journal	DENMARK	Adult|Bronchi|Female|Humans|Hypertonic Solutions|Male|Methacholine Chloride|Osmolar Concentration|Water
2147609	1990	La Clinica terapeutica	ITALY	Adult|Cromolyn Sodium|Female|Humans|Ketotifen|Male|Rhinitis, Allergic, Seasonal|Skin Tests|Time Factors
2190504	1990	Anesteziologiia i reanimatologiia	USSR	Adult|Aged|Blood Volume|Carcinoma|Colorectal Neoplasms|Female|Hemodilution|Hemodynamics|Humans|Male|Middle Aged|Preoperative Care|Prospective Studies|Randomized Controlled Trials as Topic
2222100	1990	Archives of internal medicine	UNITED STATES	Anti-Bacterial Agents|Ciprofloxacin|Cross Infection|Drug Resistance, Microbial|Drug Therapy, Combination|Humans|Methicillin Resistance|Rifampin|Single-Blind Method|Staphylococcal Infections|Staphylococcus aureus|Time Factors|Trimethoprim-Sulfamethoxazole Combination
2285608	1990	The Journal of steroid biochemistry and molecular biology	ENGLAND	Adenocarcinoma|Antineoplastic Combined Chemotherapy Protocols|Bone Neoplasms|Canada|Flutamide|Humans|Male|Multicenter Studies as Topic|Orchiectomy|Prostatic Neoplasms|United States
2401100	1990	Clinical endocrinology	ENGLAND	Adolescent|Adult|Breast|Breast Feeding|Female|Humans|Luteal Phase|Naloxone|Oxytocin|Physical Stimulation|Random Allocation
1663571	1991	Maturitas	NETHERLANDS	Administration, Cutaneous|Administration, Oral|Adult|Estradiol|Estrogen Replacement Therapy|Estrogens, Conjugated (USP)|Female|Humans|Menopause|Middle Aged|Progesterone
1752118	1991	Clinical pharmacology and therapeutics	UNITED STATES	Adult|Female|Humans|Lovastatin|Male|Pravastatin|Sleep|Sleep Stages|Substance Withdrawal Syndrome
1828447	1991	Gastroent?rologie clinique et biologique	FRANCE	Acute Disease|Hepatitis, Alcoholic|Humans|Meta-Analysis as Topic|Methylprednisolone|Prednisolone
1886351	1991	Klinische Monatsbl?tter f?r Augenheilkunde	GERMANY	Aged|Cataract Extraction|Double-Blind Method|Flurbiprofen|Humans|Indomethacin|Miotics|Premedication|Prospective Studies|Pupil
1936009	1991	European heart journal	ENGLAND	Adult|Aged|Anistreplase|Belgium|Clinical Enzyme Tests|Creatine Kinase|Double-Blind Method|Electrocardiography|Emergency Medical Services|Female|Humans|Isoenzymes|Male|Middle Aged|Myocardial Infarction|Recurrence|Thrombolytic Therapy
2006658	1991	The American journal of medicine	UNITED STATES	Aged|Aging|Body Mass Index|Cardiovascular Diseases|Double-Blind Method|Europe|Female|Humans|Hypertension|Male|Middle Aged|Obesity|Prognosis|Risk Factors|Survival Rate
2056983	1991	Medizinische Klinik (Munich, Germany : 1983)	GERMANY	Adolescent|Adult|Aged|Colonoscopy|Double-Blind Method|Drug Therapy, Combination|Female|Humans|Ketamine|Male|Midazolam|Middle Aged|Premedication
1293665	1992	Revista espa?ola de anestesiolog?a y reanimaci?n	SPAIN	Adult|Aged|Analgesia|Analgesia, Epidural|Cold Temperature|Diclofenac|Female|Humans|Male|Methadone|Middle Aged|Pain Measurement|Pain, Postoperative|Thoracotomy
1355797	1992	Lancet	ENGLAND	Body Height|Body Weight|Breast Feeding|Double-Blind Method|Female|Humans|Infant|Male|Zinc
1415419	1992	American journal of obstetrics and gynecology	UNITED STATES	Bed Rest|Blood Pressure|Female|Humans|Nifedipine|Pre-Eclampsia|Pregnancy|Pregnancy Outcome|Pregnancy Trimester, First|Pregnancy Trimester, Second|Prospective Studies
1464075	1992	Casop?s l?kar?? c?esk?ch	CZECHOSLOVAKIA	Arthritis, Rheumatoid|Double-Blind Method|Humans|Infusions, Intravenous|Methylprednisolone|Middle Aged|Prospective Studies|Pulsatile Flow
1521944	1992	International journal of sports medicine	GERMANY	Adult|Captopril|Double-Blind Method|Exercise Test|Humans|Lactates|Leg|Male|Muscles|Oxygen Consumption|Physical Education and Training|Physical Endurance
1563211	1992	Clinical pharmacology and therapeutics	UNITED STATES	Administration, Oral|Adult|Chromatography, High Pressure Liquid|Double-Blind Method|Drug Interactions|Humans|Indomethacin|Intestinal Absorption|Male|Misoprostol|Random Allocation
1613128	1992	Journal of clinical pharmacology	United States	Administration, Oral|Adolescent|Adult|Antidepressive Agents, Tricyclic|Biological Availability|Desipramine|Diltiazem|Drug Administration Schedule|Drug Interactions|Humans|Imipramine|Labetalol|Male|Verapamil
1736755	1992	The American review of respiratory disease	UNITED STATES	Adult|Airway Obstruction|Arousal|Ethanol|Glottis|Humans|Male|Pressure|Reference Values|Respiration|Sleep
1478796	1993	International journal of tissue reactions	SWITZERLAND	Acetylcarnitine|Acute Disease|Adult|Humans|Hypoxia, Brain|L-Lactate Dehydrogenase|Male|Mitochondria|Pyruvate Dehydrogenase Complex|Succinate Dehydrogenase
8110435	1993	American journal of hypertension	United States	Adult|Aged|Analysis of Variance|Blood Pressure|Calcium|Double-Blind Method|Female|Humans|Hypertension|Male|Middle Aged|Renin|Sodium
8234686	1993	Radiology	UNITED STATES	Adult|Breast Neoplasms|Breast Self-Examination|Canada|Evaluation Studies as Topic|Female|Follow-Up Studies|Humans|Mammography|Mass Screening|Middle Aged|Patient Compliance|Risk Factors
8295811	1993	The Pediatric infectious disease journal	UNITED STATES	Administration, Oral|Adolescent|Analysis of Variance|Cefadroxil|Child|Child, Preschool|Clarithromycin|Female|Humans|Infant|Male|Prospective Studies|Severity of Illness Index|Single-Blind Method|Skin Diseases, Bacterial|Suspensions|Treatment Outcome
8352387	1993	The American journal of tropical medicine and hygiene	UNITED STATES	Agglutination Tests|Animals|Antibodies, Protozoan|Chagas Disease|Dog Diseases|Dogs|Female|Follow-Up Studies|Hemagglutination Tests|Immunization, Secondary|Insect Vectors|Isoenzymes|Male|Prospective Studies|Protozoan Vaccines|Triatoma|Trypanosoma cruzi|Vaccination|Vaccines, Attenuated
8403154	1993	Canadian journal of anaesthesia = Journal canadien d'anesth?sie	CANADA	Anesthesia, Epidural|Anesthesia, Obstetrical|Anesthetics, Local|Dizziness|Double-Blind Method|Female|Humans|Injections, Intravenous|Labor, Obstetric|Lidocaine|Pregnancy|Procaine|Prospective Studies|Sensitivity and Specificity|Taste Disorders|Tinnitus
8443900	1993	Circulation	UNITED STATES	Angiography|Angioplasty, Balloon|Aortic Aneurysm|Aortic Coarctation|Child|Child, Preschool|Female|Follow-Up Studies|Humans|Magnetic Resonance Imaging|Male|Postoperative Complications|Prospective Studies|Recurrence
8487231	1993	The Journal of reproductive medicine	UNITED STATES	Anesthesia, Local|Cervix Uteri|Colposcopy|Cryosurgery|Female|Humans|Injections, Subcutaneous|Ketoprofen|Lidocaine|Naproxen|Preanesthetic Medication|Prospective Studies|Uterine Cervical Dysplasia
7514237	1994	Journal of cardiovascular pharmacology	UNITED STATES	Cause of Death|Heart Failure|Hospitalization|Humans|Myocardial Infarction|Outcome Assessment (Health Care)|Prognosis|Ramipril|Retrospective Studies
7819986	1994	BMJ (Clinical research ed.)	ENGLAND	Aged|Alcohol Drinking|Alcoholic Beverages|Cross-Over Studies|Humans|Middle Aged|Taste
7887102	1994	Acta anaesthesiologica Scandinavica	DENMARK	Abdomen|Adult|Aged|Analgesia, Epidural|Analgesia, Patient-Controlled|Bupivacaine|Female|Fentanyl|Hemodynamics|Humans|Infusions, Intravenous|Male|Middle Aged|Morphine|Pain Measurement|Pain, Postoperative|Prospective Studies|Respiratory Mechanics
7941592	1994	Wiener klinische Wochenschrift	AUSTRIA	Adjuvants, Immunologic|Adult|Aged|Carcinoma, Renal Cell|Combined Modality Therapy|Female|Follow-Up Studies|Hemocyanin|Humans|Kidney Neoplasms|Lymphatic Metastasis|Male|Middle Aged|Neoplasm Staging|Nephrectomy|Prospective Studies|Survival Rate
7978427	1994	Anesthesia and analgesia	UNITED STATES	Adult|Aged|Cardiotonic Agents|Catecholamines|Coronary Circulation|Enoximone|Heart|Hemodynamics|Humans|Imidazoles|Lactates|Lactic Acid|Male|Middle Aged|Myocardial Ischemia|Phosphodiesterase Inhibitors|Quinazolines|Vasodilator Agents|Ventricular Function, Left
8019117	1994	European journal of ophthalmology	ITALY	Aged|Aged, 80 and over|Anesthesia, Local|Autonomic Nerve Block|Blepharoptosis|Bupivacaine|Double-Blind Method|Female|Humans|Hyaluronoglucosaminidase|Hydrogen-Ion Concentration|Incidence|Injections|Male|Ophthalmic Solutions|Orbit|Prospective Studies
8067557	1994	Anesthesia and analgesia	UNITED STATES	Abortion, Induced|Adolescent|Adult|Anesthesia, Obstetrical|Female|Humans|Middle Aged|Pregnancy|Pregnanolone|Propofol
8137332	1994	Cancer research	United States	Anticarcinogenic Agents|Etretinate|Head and Neck Neoplasms|Humans|Isotretinoin|Leukoplakia|Lung Neoplasms|Mouth Neoplasms|Retinoids|Vitamin A
8187120	1994	Cardiology	SWITZERLAND	Captopril|Cardiac Volume|Diastole|Double-Blind Method|Exercise Tolerance|Humans|Male|Middle Aged|Myocardial Infarction|Systole|Ventricular Function, Left
8307445	1994	Gut	ENGLAND	Adult|Ambulatory Care|Benzilates|Circadian Rhythm|Double-Blind Method|Fasting|Female|Food|Gastrointestinal Motility|Humans|Jejunum|Male|Monitoring, Physiologic|Nortropanes|Parasympatholytics
7502551	1995	Zeitschrift f?r Gastroenterologie	GERMANY	Adult|Aged|Amoxicillin|Anti-Bacterial Agents|Anti-Ulcer Agents|Bismuth|Duodenal Ulcer|Female|Follow-Up Studies|Gastritis|Helicobacter Infections|Helicobacter pylori|Humans|Male|Metronidazole|Middle Aged|Omeprazole|Organometallic Compounds|Penicillins|Prospective Studies|Ranitidine|Recurrence|Salicylates|Tetracycline|Treatment Outcome
7573260	1995	American journal of obstetrics and gynecology	UNITED STATES	Antihypertensive Agents|Blood Pressure|Calcium Channel Blockers|Double-Blind Method|Female|Heart Rate|Humans|Hypertension|Infant, Newborn|Isradipine|Placebos|Pre-Eclampsia|Pregnancy|Pregnancy Complications, Cardiovascular|Pregnancy Outcome|Proteinuria
7609510	1995	Journal of cardiovascular pharmacology	UNITED STATES	Aged|Antihypertensive Agents|Blood Pressure|Blood Pressure Monitoring, Ambulatory|Chlorthalidone|Dihydropyridines|Double-Blind Method|Echocardiography|Female|Humans|Hypertension|Italy|Male|Middle Aged
7652119	1995	Psychophysiology	UNITED STATES	Acoustic Stimulation|Adolescent|Adult|Electrodes, Implanted|Electroencephalography|Evoked Potentials, Auditory|Evoked Potentials, Visual|Female|Humans|Male|Obsessive-Compulsive Disorder|Parkinson Disease|Stereotaxic Techniques|Temporal Lobe
7712675	1995	Clinical pharmacology and therapeutics	United States	Administration, Inhalation|Administration, Topical|Anti-Inflammatory Agents|Asthma|Beclomethasone|Biological Assay|Dose-Response Relationship, Drug|Drug Administration Schedule|Female|Fluocinolone Acetonide|Humans|Male|Single-Blind Method|Triamcinolone Acetonide
7754988	1995	The American journal of clinical nutrition	UNITED STATES	Adult|Coronary Disease|Death, Sudden, Cardiac|Diet|Fatty Acids|Female|Follow-Up Studies|France|Humans|Male|Mediterranean Islands|Middle Aged|Patient Compliance|Prospective Studies|Risk Factors|Single-Blind Method|Survival Rate|Vitamins
7801876	1995	The American journal of cardiology	UNITED STATES	Adult|Aged|Aged, 80 and over|Atrial Fibrillation|Betaxolol|Chronic Disease|Digoxin|Diltiazem|Drug Therapy, Combination|Female|Humans|Male|Middle Aged|Prospective Studies|Ventricular Function
7889180	1995	European journal of endocrinology / European Federation of Endocrine Societies	NORWAY	Adult|Aged|Aging|Biological Markers|Bone Density|Bone Regeneration|Calcitonin|Double-Blind Method|Estrogen Replacement Therapy|Female|Humans|Insulin-Like Growth Factor I|Insulin-Like Growth Factor II|Linear Models|Middle Aged|Nandrolone|Osteoporosis, Postmenopausal|Radioimmunoassay|Reference Values
8556971	1995	Drug and alcohol dependence	United States	Adult|Affect|Dextroamphetamine|Dose-Response Relationship, Drug|Double-Blind Method|Euphoria|Female|Humans|Male|Motivation|Paroxetine|Personality Inventory|Serotonin Uptake Inhibitors
8697999	1995	Zhonghua zhong liu za zhi [Chinese journal of oncology]	CHINA	Adult|Aged|Anastomosis, Surgical|Cardia|Esophagectomy|Female|Fundoplication|Gastrectomy|Humans|Male|Middle Aged|Stomach Neoplasms
8551788	1996	The Journal of thoracic and cardiovascular surgery	UNITED STATES	6-Ketoprostaglandin F1 alpha|Antithrombin III|Cardiac Surgical Procedures|Cardiopulmonary Bypass|Cell Separation|Female|Fibrin Fibrinogen Degradation Products|Humans|Intraoperative Care|Leukocyte Count|Leukocyte Elastase|Male|Middle Aged|Pancreatic Elastase|Peptide Hydrolases|Platelet Count|Postoperative Complications|Respiratory Distress Syndrome, Adult|Thromboxane B2
8625244	1996	Cancer	UNITED STATES	Aged|Antineoplastic Combined Chemotherapy Protocols|Carboplatin|Cisplatin|Epirubicin|Female|Humans|Male|Methotrexate|Middle Aged|Neoplasm Metastasis|Neoplasm Recurrence, Local|Urinary Bladder Neoplasms|Vinblastine
8671908	1996	Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association	ENGLAND	Adult|Aged|Calcium Carbonate|Cross-Over Studies|Double-Blind Method|Female|Gastric Juice|Histamine H2 Antagonists|Humans|Hydrogen-Ion Concentration|Kidney Failure, Chronic|Male|Middle Aged|Peritoneal Dialysis, Continuous Ambulatory|Phosphates|Ranitidine|Renal Dialysis
8718917	1996	Journal of pain and symptom management	UNITED STATES	Adolescent|Adult|Female|Humans|Injections, Intramuscular|Male|Middle Aged|Pain|Pain Measurement|Pressure|gamma-Globulins
8768868	1996	The Journal of clinical endocrinology and metabolism	UNITED STATES	Adult|Contraceptive Agents, Male|Cyproterone Acetate|Drug Synergism|Electrolytes|Follicle Stimulating Hormone|Humans|Lipids|Luteinizing Hormone|Male|Organ Size|Semen|Sexual Behavior|Testis|Testosterone
8813223	1996	Movement disorders : official journal of the Movement Disorder Society	UNITED STATES	Administration, Oral|Aged|Antiparkinson Agents|Biological Availability|Carbidopa|Dose-Response Relationship, Drug|Drug Administration Schedule|Drug Combinations|Female|Humans|Levodopa|Male|Metabolic Clearance Rate|Motor Skills|Neurologic Examination|Parkinson Disease|Therapeutic Equivalency
8856544	1996	Journal of hand surgery (Edinburgh, Scotland)	SCOTLAND	Adult|Aged|Arthrodesis|Bone Wires|Female|Finger Injuries|Follow-Up Studies|Fracture Fixation, Internal|Fracture Healing|Hand Injuries|Humans|Male|Middle Aged|Osteotomy|Polydioxanone|Postoperative Complications|Prospective Studies|Prostheses and Implants|Treatment Outcome|Wrist Injuries
8895290	1996	Anesthesia and analgesia	UNITED STATES	Adrenergic Agonists|Adult|Antiemetics|Atropine|Chemoprevention|Cholecystectomy, Laparoscopic|Cross-Over Studies|Droperidol|Drug Combinations|Ephedrine|Female|Humans|Injections, Intravenous|Intraoperative Care|Length of Stay|Male|Metoclopramide|Muscarinic Antagonists|Nausea|Ondansetron|Patient Admission|Patient Discharge|Postoperative Complications|Prospective Studies|Vomiting
8942331	1996	British journal of anaesthesia	ENGLAND	Aged|Cardiopulmonary Bypass|Coronary Artery Bypass|Double-Blind Method|Endotoxins|Hemodynamics|Humans|Ketanserin|Male|Metabolic Diseases|Middle Aged|Oxygen Consumption|Postoperative Period|Serotonin Antagonists
8997576	1996	European journal of ophthalmology	ITALY	Adolescent|Adult|Aged|Aged, 80 and over|Anti-Bacterial Agents|Anti-Infective Agents|Blepharitis|Child|Ciprofloxacin|Colony Count, Microbial|Conjunctiva|Conjunctivitis, Bacterial|Eye Infections, Bacterial|Eyelids|Female|Fusidic Acid|Gels|Gram-Negative Bacteria|Gram-Positive Bacteria|Humans|Male|Middle Aged|Ophthalmic Solutions|Safety
8856250	1997	Nephron	SWITZERLAND	Adult|Aged|Angiography|Contrast Media|Double-Blind Method|Female|Glomerular Filtration Rate|Humans|Iohexol|Kidney Failure, Chronic|Kidney Function Tests|Male|Middle Aged|Prospective Studies|Technetium Tc 99m Pentetate|Tomography, X-Ray Computed|Triiodobenzoic Acids
9040271	1997	Angiology	UNITED STATES	Adult|Aged|Female|Hemodynamics|Humans|Male|Middle Aged|Physical Therapy Modalities|Varicose Veins|Veins
9089530	1997	Journal of public health dentistry	United States	Adolescent|Adult|Age Factors|Aid to Families with Dependent Children|Child|Community Health Services|Dental Care|Dental Service, Hospital|Evaluation Studies as Topic|Fee-for-Service Plans|Female|Health Care Costs|Health Expenditures|Health Maintenance Organizations|Health Services Accessibility|Humans|Male|Medicaid|Regression Analysis|Reimbursement Mechanisms|Sex Factors|United States
9138335	1997	Medicina	ARGENTINA	Acute Disease|Adolescent|Adult|Antibiotics, Antineoplastic|Antimetabolites, Antineoplastic|Antineoplastic Agents, Phytogenic|Antineoplastic Combined Chemotherapy Protocols|Bacteremia|Cytarabine|Daunorubicin|Drug Therapy, Combination|Etoposide|Female|Humans|Leukemia|Male|Mitoxantrone|Neutropenia|Risk Factors
9180622	1997	Hypertension	UNITED STATES	Adult|Aged|Biofeedback, Psychology|Blood Pressure|Blood Pressure Monitoring, Ambulatory|Double-Blind Method|Humans|Hypertension|Middle Aged|Placebo Effect
9222938	1997	Journal of hypertension	ENGLAND	Adult|Alleles|Atrial Natriuretic Factor|Base Sequence|Blood Pressure|Cross-Over Studies|DNA Primers|Deoxyribonuclease HpaII|Diet, Sodium-Restricted|Double-Blind Method|Drug Resistance|Humans|Male|Polymorphism, Restriction Fragment Length|Sodium, Dietary
