pmid	date	journal	country	label	mesh
P353623	1978	Ophthalmology	UNITED STATES	X	Adult|Aneurysm|Benzenesulfonates|Calcium Dobesilate|Capillary Fragility|Clinical Trials as Topic|Diabetic Retinopathy|Double-Blind Method|Exudates and Transudates|Fluorescein Angiography|Humans|Placebos|Retinal Hemorrhage|Retinal Vessels
P647693	1978	Cancer treatment reports	UNITED STATES	F	Aged|Breast Neoplasms|Female|Humans|Middle Aged|Retinal Diseases|Tamoxifen|Vision Disorders
P310054	1979	Modern problems in ophthalmology	SWITZERLAND	X	Adult|Color Vision Defects|Diabetic Retinopathy|Female|Follow-Up Studies|Humans|Laser Therapy|Lasers|Light Coagulation|Male|Middle Aged
P38704	1979	Annales de l'anesth?siologie fran?aise	FRANCE	X	Arrhythmias, Cardiac|Atropine|Bradycardia|Electrocardiography|Humans|Retinal Detachment|Succinylcholine|Thiopental|Time Factors|Trimeprazine
P398601	1979	Transactions of the ophthalmological societies of the United Kingdom	ENGLAND	X	Blindness|Clinical Trials as Topic|Diabetic Retinopathy|Humans|Laser Therapy|Lasers|Macula Lutea|Random Allocation|Visual Acuity|Xenon
P508687	1979	The British journal of ophthalmology	ENGLAND	X	Adult|Aged|Female|Follow-Up Studies|Glaucoma|Humans|Light Coagulation|Male|Middle Aged|Prospective Studies|Retinal Diseases|Retinal Vein|Uveal Diseases|Vascular Diseases
P530565	1979	Ophthalmology	UNITED STATES	X	Adult|Aged|Diabetic Retinopathy|Edema|Female|Follow-Up Studies|Humans|Laser Therapy|Light Coagulation|Macula Lutea|Male|Middle Aged|Prospective Studies|Random Allocation|Visual Acuity
P572699	1979	The British journal of ophthalmology	ENGLAND	X	Argon|Diabetic Retinopathy|Humans|Krypton|Laser Therapy|Lasers|Optic Disk|Retinal Hemorrhage|Visual Fields
P574397	1979	The British journal of ophthalmology	ENGLAND	X	Adult|Argon|Color Perception|Female|Fluorescein Angiography|Humans|Laser Therapy|Lasers|Male|Middle Aged|Prospective Studies|Random Allocation|Retinal Detachment|Visual Acuity
P92202	1979	American journal of ophthalmology	UNITED STATES	X	Adolescent|Adult|Choroid|Fluorescein Angiography|Follow-Up Studies|Humans|Laser Therapy|Lasers|Middle Aged|Neovascularization, Pathologic|Random Allocation|Retinal Detachment|Visual Acuity
P398445	1980	Modern problems in ophthalmology	SWITZERLAND	X	Argon|Choroid|Clinical Trials as Topic|Humans|Laser Therapy|Lasers|Macula Lutea|Remission, Spontaneous|Retinal Detachment|Uveal Diseases
P6153904	1980	The British journal of ophthalmology	ENGLAND	X	Adolescent|Adult|Aged|Argon|Diabetic Retinopathy|Female|Follow-Up Studies|Humans|Laser Therapy|Lasers|Male|Middle Aged|Neovascularization, Pathologic|Optic Disk|Xenon
P7387963	1980	The British journal of ophthalmology	ENGLAND	X	Adult|Aged|Computers|Diabetic Retinopathy|Humans|Light Coagulation|Macula Lutea|Middle Aged|Prospective Studies|Random Allocation|Visual Acuity
P7413152	1980	Ophthalmology	United States	X	Aqueous Humor|Biological Transport|Blood|Capillary Permeability|Edema|Fluoresceins|Fluorometry|Humans|Indomethacin|Iris|Lenses, Intraocular|Macular Degeneration
P7437393	1980	The British journal of ophthalmology	ENGLAND	X	Administration, Topical|Aged|Aphakia, Postcataract|Double-Blind Method|Edema|Female|Follow-Up Studies|Humans|Indomethacin|Macula Lutea|Male|Middle Aged|Random Allocation|Retinal Diseases|Time Factors
P7447772	1980	Archives of ophthalmology	UNITED STATES	X	Adult|Aged|Diabetic Retinopathy|Female|Glaucoma|Humans|Intraocular Pressure|Iris Diseases|Lens, Crystalline|Male|Methods|Middle Aged|Postoperative Complications|Prospective Studies|Random Allocation|Visual Acuity|Vitreous Body
P6163165	1981	Pharmatherapeutica	ENGLAND	X	Adult|Aged|Clinical Trials as Topic|Female|Fluorescein Angiography|Humans|Male|Middle Aged|Neovascularization, Pathologic|Pentoxifylline|Retinal Hemorrhage|Theobromine|Visual Acuity
P7029275	1981	The New England journal of medicine	UNITED STATES	X	Administration, Oral|Birth Weight|Cerebral Hemorrhage|Clinical Trials as Topic|Double-Blind Method|Gestational Age|Humans|Infant, Newborn|Oxygen Inhalation Therapy|Respiratory Distress Syndrome, Newborn|Retinopathy of Prematurity|Risk|Vitamin E
P7033865	1981	Ophthalmology	UNITED STATES	F	Aphakia|Cataract Extraction|Clinical Trials as Topic|Corneal Transplantation|Edema|Female|Humans|Macular Degeneration|Middle Aged|Postoperative Complications|Visual Acuity|Vitreous Body
P7195893	1981	Investigative ophthalmology & visual science	UNITED STATES	X	Adolescent|Adult|Aged|Blindness|Child|Diabetes Mellitus, Type 1|Diabetic Retinopathy|Female|Humans|Laser Therapy|Male|Middle Aged|Random Allocation|Research Design
P7196564	1981	Ophthalmology	UNITED STATES	X	Adolescent|Adult|Argon|Child|Child, Preschool|Diabetic Retinopathy|Female|Follow-Up Studies|Fundus Oculi|Humans|Laser Therapy|Lasers|Male|Middle Aged|Visual Acuity|Visual Fields|Xenon
P6119509	1982	Lancet	ENGLAND	X	Adolescent|Adult|Blood Glucose|Clinical Trials as Topic|Diabetes Mellitus|Diabetic Nephropathies|Diabetic Retinopathy|Glomerular Filtration Rate|Hemoglobin A|Humans|Insulin|Insulin Infusion Systems|Kidney|Middle Aged|Prospective Studies|Random Allocation|Retina
P6122890	1982	Lancet	ENGLAND	X	Acute Disease|Birth Weight|Blindness|Clinical Trials as Topic|Female|Follow-Up Studies|Humans|Infant, Newborn|Injections, Intramuscular|Male|Random Allocation|Retinopathy of Prematurity|Vitamin E
P6175340	1982	The British journal of ophthalmology	ENGLAND	X	Adult|Argon|Diabetic Retinopathy|Female|Follow-Up Studies|Humans|Laser Therapy|Lasers|Male|Middle Aged|Neovascularization, Pathologic|Optic Disk|Regression Analysis|Retinal Vessels|Time Factors|Visual Acuity|Xenon
P6181452	1982	Ophthalmology	UNITED STATES	X	Adolescent|Adult|Aged|Child|Child, Preschool|Diabetic Retinopathy|Female|Follow-Up Studies|Humans|Intraocular Pressure|Laser Therapy|Lasers|Male|Middle Aged|Neovascularization, Pathologic|Retinal Detachment
P6184070	1982	The British journal of ophthalmology	United States	X	Aged|Clinical Trials as Topic|Follow-Up Studies|Humans|Laser Therapy|Lasers|Macular Degeneration|Neovascularization, Pathologic|Random Allocation|Retina|Visual Acuity
P6285503	1982	<MISSING>	FRANCE	X	Blood Glucose|Diabetic Retinopathy|Fibrinolysis|Gliclazide|Glyburide|Hemoglobin A, Glycosylated|Humans|Middle Aged|Platelet Aggregation|Sulfonylurea Compounds
P6752553	1982	Klinische Monatsbl?tter f?r Augenheilkunde	GERMANY, WEST	X	Adult|Aged|Aphakia, Postcataract|Clinical Trials as Topic|Cysts|Double-Blind Method|Edema|Female|Humans|Hydroxyethylrutoside|Macula Lutea|Male|Middle Aged|Retinal Diseases|Rutin
P6752799	1982	Ophthalmology	United States	X	Adrenal Cortex Hormones|Adult|Aged|Cataract Extraction|Clinical Trials as Topic|Double-Blind Method|Edema|Female|Fluorescein Angiography|Humans|Indomethacin|Lens Capsule, Crystalline|Lenses, Intraocular|Macula Lutea|Male|Middle Aged|Ophthalmic Solutions|Retinal Diseases
P6752800	1982	Ophthalmology	UNITED STATES	X	Aphakia, Postcataract|Chronic Disease|Clinical Trials as Topic|Edema|Humans|Laser Therapy|Macula Lutea|Prospective Studies|Random Allocation|Retinal Diseases|Vitreous Body
P6761186	1982	Diab?te & m?tabolisme	FRANCE	X	Aspirin|Clinical Trials as Topic|Diabetic Retinopathy|Dipyridamole|Drug Therapy, Combination|Fluorescein Angiography|Humans
P6897109	1982	Ophthalmology	UNITED STATES	X	Administration, Oral|Humans|Infant, Low Birth Weight|Infant, Newborn|Injections, Intramuscular|Research Design|Retinopathy of Prematurity|Vitamin E
P7034773	1982	The British journal of ophthalmology	United States	X	Aged|Clinical Trials as Topic|Fluorescein Angiography|Humans|Laser Therapy|Lasers|Middle Aged|Pigment Epithelium of Eye|Prognosis|Prospective Studies|Random Allocation|Retinal Detachment|Visual Acuity|Visual Fields
P7041039	1982	Ophthalmology	United States	X	Clinical Trials as Topic|Double-Blind Method|Female|Humans|Infant, Newborn|Infant, Premature, Diseases|Injections, Intramuscular|Male|Oxygen|Respiratory Distress Syndrome, Newborn|Retinopathy of Prematurity|Vitamin E
P7043868	1982	Transactions of the American Ophthalmological Society	UNITED STATES	X	Aged|Clinical Trials as Topic|Drainage|Europe|Female|Follow-Up Studies|History, 18th Century|History, 19th Century|History, 20th Century|Humans|Male|Middle Aged|Postoperative Complications|Random Allocation|Retinal Detachment|Scleral Buckling|United States
P7044655	1982	Clinical science (London, England : 1979)	ENGLAND	X	Adult|Aged|Aspirin|Blood Platelets|Cell Survival|Clinical Trials as Topic|Diabetic Retinopathy|Dipyridamole|Double-Blind Method|Drug Therapy, Combination|Female|Humans|Male|Middle Aged
P7044656	1982	Clinical science (London, England : 1979)	ENGLAND	M	Adult|Blood Glucose|Blood Viscosity|Cross-Sectional Studies|Diabetes Mellitus|Diabetic Retinopathy|Fibrinogen|Hemoglobin A, Glycosylated|Humans|Insulin|Male|Middle Aged
P7046707	1982	Archives of ophthalmology	United States	X	Aged|Clinical Trials as Topic|Fluorescein Angiography|Follow-Up Studies|Humans|Laser Therapy|Lasers|Macular Degeneration|Middle Aged|Random Allocation|Vision Disorders
P7049782	1982	Diab?te & m?tabolisme	FRANCE	X	Adolescent|Adult|Aged|Aspirin|Blood Platelets|Clinical Trials as Topic|Diabetic Retinopathy|Dipyridamole|Double-Blind Method|Drug Therapy, Combination|Hemostasis|Humans|Middle Aged
P7201436	1982	Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv f?r klinische und experimentelle Ophthalmologie	GERMANY, WEST	X	Adult|Aged|Follow-Up Studies|Humans|Laser Therapy|Lasers|Macular Degeneration|Middle Aged|Pigment Epithelium of Eye|Prospective Studies|Random Allocation|Retinal Detachment
P6130243	1983	Lancet	ENGLAND	X	Adult|Blood Glucose|Diabetes Mellitus|Diabetic Retinopathy|Hemoglobin A|Humans|Insulin|Insulin Infusion Systems|Middle Aged|Prospective Studies|Random Allocation|Retina
P6134210	1983	Lancet	ENGLAND	X	Diabetes Mellitus|Diabetic Retinopathy|Humans|Insulin Infusion Systems
P6184769	1983	Retina (Philadelphia, Pa.)	UNITED STATES	X	Aged|Capillaries|Fluorescein Angiography|Fovea Centralis|Humans|Laser Therapy|Lasers|Macula Lutea|Middle Aged|Neovascularization, Pathologic|Retinal Hemorrhage|Visual Acuity
P6191812	1983	Bulletins et m?moires de la Soci?t? fran?aise d'ophtalmologie	FRANCE	X	Aged|Evaluation Studies as Topic|Female|Humans|Laser Therapy|Lasers|Macular Degeneration|Male|Neovascularization, Pathologic|Random Allocation|Visual Acuity
P6192381	1983	Ophthalmology	United States	X	Adult|Anemia, Sickle Cell|Choroid|Clinical Trials as Topic|Female|Follow-Up Studies|Humans|Laser Therapy|Lasers|Male|Neovascularization, Pathologic|Random Allocation|Retinal Detachment|Retinal Diseases
P6192562	1983	Transactions of the ophthalmological societies of the United Kingdom	ENGLAND	X	Adult|Argon|Diabetic Retinopathy|Electrooculography|Female|Humans|Laser Therapy|Lasers|Male|Middle Aged|Neovascularization, Pathologic|Optic Disk|Visual Acuity|Visual Fields|Xenon
P6340512	1983	American journal of ophthalmology	UNITED STATES	X	Administration, Topical|Clinical Trials as Topic|Double-Blind Method|Edema|Female|Humans|Indomethacin|Macula Lutea|Male|Ophthalmic Solutions|Postoperative Complications|Retinal Detachment|Retinal Diseases
P6341914	1983	Ophthalmic surgery	United States	X	Aged|Aphakia, Postcataract|Clinical Trials as Topic|Double-Blind Method|Edema|Female|Fenoprofen|Humans|Macula Lutea|Male|Middle Aged|Phenylpropionates|Retinal Diseases
P6357901	1983	Diabetes	UNITED STATES	X	Adult|Aged|Clinical Trials as Topic|Diabetic Retinopathy|Female|Follow-Up Studies|Humans|Light Coagulation|Macula Lutea|Male|Middle Aged|Outcome and Process Assessment (Health Care)|Random Allocation|Xenon
P6366345	1983	Klinische Monatsbl?tter f?r Augenheilkunde	GERMANY, WEST	X	Clinical Trials as Topic|Double-Blind Method|Humans|Indomethacin|Macular Edema|Ophthalmic Solutions|Postoperative Care|Random Allocation
P6366346	1983	Klinische Monatsbl?tter f?r Augenheilkunde	GERMANY, WEST	X	Aged|Cataract Extraction|Clinical Trials as Topic|Double-Blind Method|Female|Fluorescein Angiography|Humans|Indomethacin|Macular Edema|Male|Ophthalmic Solutions|Postoperative Care|Random Allocation
P6440313	1983	The Tohoku journal of experimental medicine	JAPAN	X	Adult|Aged|Blood Glucose|Clinical Trials as Topic|Diabetes Mellitus, Type 2|Diabetic Retinopathy|Double-Blind Method|Female|Fundus Oculi|Gliclazide|Glyburide|Humans|Lipids|Male|Middle Aged|Platelet Adhesiveness|Platelet Aggregation|Random Allocation|Sulfonylurea Compounds
P6634077	1983	Ophthalmology	UNITED STATES	X	Age Factors|Aged|Cataract Extraction|Female|Humans|Light|Macular Edema|Male|Microscopy|Postoperative Complications|Sex Factors|Visual Acuity
P6682293	1983	American journal of ophthalmology	United States	X	Adult|Argon|Choroid|Fluorescein Angiography|Humans|Laser Therapy|Lasers|Retinal Diseases|Uveal Diseases
P6683566	1983	The British journal of ophthalmology	United States	X	Adult|Argon|Diabetic Retinopathy|Electroretinography|Female|Humans|Laser Therapy|Lasers|Male|Middle Aged|Retina|Xenon
P6761238	1983	Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv f?r klinische und experimentelle Ophthalmologie	GERMANY, WEST	X	Adult|Aged|Clinical Trials as Topic|Double-Blind Method|Female|Humans|Male|Middle Aged|Postoperative Complications|Prednisone|Prospective Studies|Retinal Detachment|Retinal Diseases
P6814984	1983	Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv f?r klinische und experimentelle Ophthalmologie	GERMANY, WEST	X	2,3-Diphosphoglycerate|Adult|Blood Glucose|Diabetic Retinopathy|Diphosphoglyceric Acids|Double-Blind Method|Etidronic Acid|Female|Humans|Male|Middle Aged|Oxygen Consumption|Partial Pressure|Phosphates|Random Allocation
P6084217	1984	Ophthalmology	United States	X	Anemia, Sickle Cell|Choroid|Clinical Trials as Topic|Eye Diseases|Female|Follow-Up Studies|Hemorrhage|Humans|Laser Therapy|Lasers|Male|Neovascularization, Pathologic|Prospective Studies|Retinal Detachment|Retinal Diseases|Risk|Thalassemia|Vitreous Body
P6201409	1984	Diabetologia	GERMANY, WEST	X	Adolescent|Adult|Aged|Blindness|Child|Child, Preschool|Clinical Trials as Topic|Diabetic Retinopathy|Female|Follow-Up Studies|Humans|Infant|Light Coagulation|Male|Middle Aged|Neovascularization, Pathologic|Optic Disk|Prognosis|Random Allocation|Visual Acuity|Xenon
P6206124	1984	Journal fran?ais d'ophtalmologie	FRANCE	X	Aged|Clinical Trials as Topic|Humans|Laser Therapy|Lasers|Macular Degeneration|Middle Aged|Neovascularization, Pathologic|Prognosis|Prospective Studies|Random Allocation|Retinal Vessels
P6324526	1984	Acta ophthalmologica. Supplementum	DENMARK	X	Adult|Aged|Diabetic Retinopathy|Female|Follow-Up Studies|Humans|Light Coagulation|Male|Middle Aged|Prospective Studies|Sweden|Visual Acuity|Visual Fields
P6365157	1984	The British journal of ophthalmology	ENGLAND	X	Clinical Trials as Topic|Edema|Humans|Laser Therapy|Light Coagulation|Macula Lutea|Prognosis|Retinal Diseases|Retinal Vessels
P6369216	1984	Ophthalmology	UNITED STATES	X	Acetates|Adult|Cataract|Clinical Trials as Topic|Diabetic Retinopathy|Double-Blind Method|Drug Combinations|Glucose|Humans|Intraoperative Complications|Middle Aged|Minerals|Random Allocation|Sodium Chloride|Vitrectomy
P6377076	1984	The New England journal of medicine	UNITED STATES	X	Adolescent|Adult|Albuminuria|Blood Glucose|Clinical Trials as Topic|Diabetes Mellitus, Type 1|Diabetic Retinopathy|Female|Fluorescein Angiography|Humans|Insulin|Insulin Infusion Systems|Male|Middle Aged|Prospective Studies|Random Allocation|Retina
P6379136	1984	The Journal of pediatrics	United States	X	Bronchopulmonary Dysplasia|Child Development|Clinical Trials as Topic|Combined Modality Therapy|Ductus Arteriosus, Patent|Female|Follow-Up Studies|Humans|Indomethacin|Infant, Newborn|Infant, Premature, Diseases|Male|Patient Readmission|Random Allocation|Retinopathy of Prematurity
P6382103	1984	Ophthalmic research	SWITZERLAND	X	Adult|Aged|Aqueous Humor|Benzenesulfonates|Blood Viscosity|Calcium Dobesilate|Clinical Trials as Topic|Diabetes Complications|Diabetic Retinopathy|Double-Blind Method|Female|Glaucoma, Open-Angle|Humans|Intraocular Pressure|Male|Middle Aged|Random Allocation|Visual Acuity
P6383049	1984	American journal of ophthalmology	UNITED STATES	X	Activities of Daily Living|Adolescent|Adult|Aged|Child|Clinical Trials as Topic|Female|Humans|Male|Middle Aged|Physical Exertion|Postoperative Period|Prospective Studies|Random Allocation|Reoperation|Retinal Detachment|Scleral Buckling|Visual Acuity|Wound Healing
P6383055	1984	American journal of ophthalmology	United States	X	Adult|Aged|Clinical Trials as Topic|Edema|Female|Follow-Up Studies|Humans|Laser Therapy|Lasers|Macula Lutea|Male|Middle Aged|Random Allocation|Retinal Diseases
P6385648	1984	Agents and actions. Supplements	SWITZERLAND	X	Adenosine Diphosphate|Adult|Aged|Anticoagulants|Clinical Trials as Topic|Diabetes Mellitus|Female|Humans|Hyperlipidemias|Hypertension|Male|Middle Aged|Platelet Aggregation|Retinal Diseases|Retinal Vein|Risk|Thiophenes|Ticlopidine|Visual Acuity
P6385649	1984	Agents and actions. Supplements	SWITZERLAND	X	Adenosine Diphosphate|Adolescent|Adult|Aged|Anticoagulants|Brain Ischemia|Clinical Trials as Topic|Diabetic Angiopathies|Diabetic Neuropathies|Diabetic Retinopathy|Electrocardiography|Fluorescein Angiography|Follow-Up Studies|Humans|Middle Aged|Patient Compliance|Platelet Aggregation|Thiophenes|Ticlopidine
P6394209	1984	Controlled clinical trials	UNITED STATES	X	Clinical Trials as Topic|Diabetic Retinopathy|Follow-Up Studies|Humans|Light Coagulation|Time Factors
P6463852	1984	Survey of ophthalmology	UNITED STATES	X	Aged|Aphakia, Postcataract|Cataract Extraction|Chronic Disease|Female|Follow-Up Studies|Humans|Macular Edema|Male|Middle Aged|Multi-Institutional Systems|Prospective Studies|Random Allocation|United States|Visual Acuity|Vitrectomy
P6476044	1984	American journal of ophthalmology	United States	X	Aged|Cataract Extraction|Female|Fluorescein Angiography|Humans|Lenses, Intraocular|Macular Edema|Male|Middle Aged|Postoperative Complications|Prospective Studies|Random Allocation|Visual Acuity
P6546416	1984	Pediatrics	United States	X	Administration, Oral|Humans|Infant, Newborn|Infant, Premature|Injections, Intramuscular|Microscopy, Electron|Retina|Retinopathy of Prematurity|Time Factors|Vitamin E
P6734921	1984	The Journal of international medical research	ENGLAND	X	Diabetic Retinopathy|Double-Blind Method|Drug Evaluation|Fluorescein Angiography|Humans|Middle Aged|Pyrrolidines|Random Allocation|Vasodilator Agents
P6743640	1984	The British journal of nutrition	ENGLAND	X	Blood Platelets|Diabetes Mellitus, Type 2|Diabetic Retinopathy|Dietary Carbohydrates|Dietary Fats|Fatty Acids|Female|Humans|Male|Middle Aged|Phospholipids|Prospective Studies
P2865943	1985	Archives of ophthalmology	UNITED STATES	X	Adolescent|Adult|Clinical Trials as Topic|Diabetes Mellitus, Type 1|Diabetes Mellitus, Type 2|Diabetic Retinopathy|Female|Follow-Up Studies|Hemorrhage|Humans|Male|Middle Aged|Postoperative Complications|Random Allocation|Retinal Detachment|Risk|Time Factors|Visual Acuity|Vitrectomy|Vitreous Body
P2866759	1985	Archives of ophthalmology	UNITED STATES	X	Diabetic Retinopathy|Edema|Evaluation Studies as Topic|Eye|Humans|Light Coagulation|Macula Lutea|Severity of Illness Index|Time Factors|Vision Tests|Visual Acuity
P2931063	1985	Archives of ophthalmology	UNITED STATES	X	Administration, Oral|Cell Membrane Permeability|Clinical Trials as Topic|Diabetes Mellitus, Type 1|Diabetic Retinopathy|Double-Blind Method|Fluorescein|Fluoresceins|Humans|Indenes|Retina|Rheology|Sulindac
P3840245	1985	Ophthalmology	UNITED STATES	X	Cryosurgery|Female|Humans|Infant|Male|Retinal Vessels|Retinopathy of Prematurity
P3876532	1985	Ophthalmology	UNITED STATES	X	Aged|Aphakia, Postcataract|Chronic Disease|Endophthalmitis|Female|Fluorescein Angiography|Humans|Macula Lutea|Macular Edema|Male|Postoperative Complications|Prognosis|Prospective Studies|Random Allocation|Vascular Diseases|Vision, Ocular|Vitrectomy|Vitreous Body
P3883964	1985	Archives of ophthalmology	UNITED STATES	X	Cataract Extraction|Clinical Trials as Topic|Cornea|Filtration|Fluorescein Angiography|Humans|Lenses, Intraocular|Macular Edema|Microscopy|Prospective Studies|Radiation Injuries|Random Allocation|Surgical Equipment|Ultraviolet Rays
P3883968	1985	Archives of ophthalmology	UNITED STATES	X	Aminocaproates|Aminocaproic Acid|Clinical Trials as Topic|Diabetic Retinopathy|Eye Diseases|Follow-Up Studies|Hemorrhage|Hospitalization|Humans|Postoperative Complications|Prospective Studies|Random Allocation|Recurrence|Vitrectomy|Vitreous Body
P3885152	1985	Pediatrics	United States	X	Administration, Oral|Clinical Trials as Topic|Double-Blind Method|Enterocolitis, Pseudomembranous|Female|Humans|Infant|Infant, Low Birth Weight|Infant, Newborn|Infant, Premature, Diseases|Infusions, Parenteral|Injections, Intramuscular|Male|Oxygen|Random Allocation|Retinopathy of Prematurity|Sepsis|Space-Time Clustering|Vitamin E
P3890666	1985	Annals of ophthalmology	UNITED STATES	F	Aged|Aphakia, Postcataract|Clinical Trials as Topic|Dexamethasone|Edema|Female|Humans|Macular Degeneration|Middle Aged|Postoperative Complications|Prostaglandins|Random Allocation
P3894128	1985	Diabetes	UNITED STATES	X	Clinical Trials as Topic|Diabetes Mellitus, Type 1|Diabetic Retinopathy|Humans|Injections, Subcutaneous|Insulin|Insulin Infusion Systems|Random Allocation|Time Factors
P3894129	1985	Diabetes	UNITED STATES	X	Blood Glucose|Blood Pressure|Cholesterol|Clinical Trials as Topic|Creatinine|Diabetes Mellitus, Type 1|Diabetic Retinopathy|Hemoglobin A, Glycosylated|Humans|Injections, Subcutaneous|Insulin|Insulin Infusion Systems|Triglycerides
P3900846	1985	Ophthalmology	United States	X	Cicatrix|Clinical Trials as Topic|Eye Diseases|Follow-Up Studies|Humans|Infant|Infant, Low Birth Weight|Infant, Premature, Diseases|Prospective Studies|Random Allocation|Refractive Errors|Retinal Diseases|Retinopathy of Prematurity|Vitamin E
P3900847	1985	Ophthalmology	United States	X	Cerebral Hemorrhage|Clinical Trials as Topic|Double-Blind Method|Follow-Up Studies|Humans|Infant, Newborn|Random Allocation|Retinal Hemorrhage|Retinopathy of Prematurity|Vitamin E
P3904464	1985	American journal of ophthalmology	UNITED STATES	X	Adolescent|Adult|Diabetes Mellitus|Diabetic Retinopathy|Female|Hemoglobin A|Humans|Insulin|Male|Prospective Studies|Random Allocation
