name	uid	treepos	children
Abscisic Acid	D000040	D02.241.223.268.034|D02.455.326.271.665.202.061|D02.455.426.392.368.367.379.249.024|D02.455.849.131.061|D02.455.849.765.033	
Absenteeism	D000041	F02.784.692.107	
Absorption	D000042	G01.015|G02.010|G03.015|G03.787.024|G07.690.725.015	D065966|D065567
Abstracting and Indexing as Topic	D000043	L01.453.245.100	
Dental Abutments	D000044	E06.780.346.500|E07.695.190.175	
Acacia	D000045	B01.650.940.800.575.100.401.025	
Academic Medical Centers	D000046	N02.278.020	D006784|D012577
Academies and Institutes	D000047	N03.540.052	D009307|D009316
Acanthamoeba	D000048	B01.046.500.100.075.080	D048248
Acanthocephala	D000049	B01.050.500.500.132	D008990
Acanthocytes	D000050	A11.118.290.330.100|A11.443.240.330.100|A15.145.229.334.330.100	
Acantholysis	D000051	C17.800.865.070|C23.550.035	
Acanthosis Nigricans	D000052	C17.800.621.430.530.100	
Acari	D000053	B01.050.500.131.166.132	D008925|D013987
Acceleration	D000054	G01.482.107	D003654
Accessory Nerve	D000055	A08.800.800.120.060	
Accident Prevention	D000056	N06.850.135.060	D012449
Accident Proneness	D000057	F01.145.015	
Accidental Falls	D000058	N06.850.135.122	
Accidents	D000059	N06.850.135	D055885|D055884|D004332|D000058|D018788|D000061|D000060|D000056|D000062|D000063
Accidents, Aviation	D000060	N06.850.135.185	
Accidents, Home	D000061	N06.850.135.217	
Accidents, Occupational	D000062	N06.850.135.240	
Accidents, Traffic	D000063	N06.850.135.392	
Acclimatization	D000064	G07.025.133|G16.012.500.133	D055049|D000071436
Accommodation, Ocular	D000065	G14.010	
Accounting	D000066	N03.219.463.030	D010350|D005375|D000067|D000067012|D000067571|D003862
Oil and Gas Industry	D000066388	J01.576.655.875.750	D000067071
Coal Industry	D000066428	J01.576.655.875.200	
Driving Under the Influence	D000066448	F01.145.250.250|F01.145.263.500|I01.880.735.223.250|I03.125.649	
Human Embryonic Stem Cells	D000066449	A11.872.700.250.750	
Mouse Embryonic Stem Cells	D000066450	A11.872.700.250.875	
Embryonic Germ Cells	D000066473	A11.497.124|A11.872.700.250.625	
Work Performance	D000066477	I03.946.675	
Criminal Behavior	D000066479	F01.145.250	D000066448
Clinical Decision-Making	D000066491	E01.055	
Cognitive Aging	D000066492	G07.345.124.260	
Cognitive Neuroscience	D000066494	F04.096.628.255.500|H01.158.610.030	
Emotional Adjustment	D000066498	F01.058.144|F01.752.543.500.250	
Facial Recognition	D000066499	F02.463.593.524.500.500|F02.463.593.932.622.500	
Grandparents	D000066502	F01.829.263.403|I01.880.853.150.452|M01.264	
Help-Seeking Behavior	D000066505	F01.145.813.217	
Heuristics	D000066506	F02.463.425.725.500|F02.463.785.810.500	
Intimate Partner Violence	D000066511	I01.198.240.856.575|I01.880.735.900.688	D013179
Neurological Rehabilitation	D000066530	E02.760.169.063.500.477|E02.831.477|H02.403.680.600.750|N02.421.784.511	D000071939
Physical Abuse	D000066550	I01.198.240.856.688|I01.880.735.900.744	
Problem Behavior	D000066553	F01.145.126.972|F01.145.179.750	
Underage Drinking	D000066608	F01.145.022.750|F01.145.317.269.875|I01.880.735.878	
Ectopic Gene Expression	D000066630	G05.308.202	
Cell Plasticity	D000066670	G04.356.250	
Cell Self Renewal	D000066673	G04.144.220.235|G04.161.750.500.375|G05.113.415|G07.345.249.410.750.500.625	
Rehabilitation Research	D000066768	H01.770.644.145.472	
Orthodontists	D000066792	M01.526.485.330.655|N02.360.330.655	
Oral and Maxillofacial Surgeons	D000066794	M01.526.485.330.483|N02.360.330.483	
Neuroprotection	D000066829	G11.561.645	
Diet, Food, and Nutrition	D000066888	G07.203	D009747|D005502|D001628
Triticale	D000066889	B01.650.940.800.575.100.822.906	
Critical Care Outcomes	D000066891	N04.761.559.590.399.250|N05.715.360.575.575.200|N05.715.360.575.575.399.250	
Simulation Training	D000066908	I02.903.847	D000070856|D016544
Millets	D000066928	B01.650.940.800.575.100.822.587	
Biobehavioral Sciences	D000066949	H01.770.644.108.687	
Protein Corona	D000066970	D12.776.642	
Vegetarians	D000066988	M01.928	D000066989
Vegans	D000066989	M01.928.500	
Accounts Payable and Receivable	D000067	N03.219.463.030.080	
Youth Sports	D000067009	I03.450.642.845.987	
Literacy	D000067010	F01.145.209.429|L01.143.563|N01.824.196.500	
Severe Acute Malnutrition	D000067011	C18.654.521.719	D007732
Banking, Personal	D000067012	N03.219.463.030.100	
Evidence-Based Facility Design	D000067013	N02.278.200.252	
Physical Appearance, Body	D000067029	E01.370.600.115.450|G07.100.175	D012880
Fruit and Vegetable Juices	D000067030	G07.203.100.606|J02.200.606	
Ghee	D000067048	D10.212.302.199.500|G07.203.300.350.100.500|G07.203.300.375.200.500|J02.500.350.100.500|J02.500.375.200.500	
Hydraulic Fracking	D000067071	J01.576.655.875.750.500	
Psychological Trauma	D000067073	F03.950.750.375	
Peer Influence	D000067074	F01.829.316.483.750	
Vegetable Products	D000067075	G07.203.300.850.450|J02.500.850.800	D045730
Direct-to-Consumer Advertising	D000067088	J01.219.687.274.500	
Direct-To-Consumer Screening and Testing	D000067108	E01.370.398|N02.421.726.233.166	
Extracellular Vesicles	D000067128	A11.284.295.588	D055354|D055252
Fungal Viruses	D000067148	B04.352	
Telocytes	D000067170	A11.329.830.750	D000067617
Exoskeleton Device	D000067190	E07.341	
Shellfish Hypersensitivity	D000067208	C20.543.480.370.763	
Failure to Rescue, Health Care	D000067248	E01.789.800.760.500|H01.770.644.145.431.500|N04.761.559.590.200|N04.761.559.590.800.760.500|N05.715.360.575.575.300|N05.715.360.575.575.800.760.500	
Psychiatric Rehabilitation	D000067250	H02.403.680.600.875|N02.421.784.578	
Symptom Flare Up	D000067251	C23.550.291.937.500	
Isolated Heart Preparation	D000067268	E05.519|E05.598.750	
Diet, Vegan	D000067269	E02.642.249.300.750|G07.203.650.240.300.750	
Behavior Observation Techniques	D000067289	E05.796.112|F04.669.112	
Behavior Rating Scale	D000067290	F04.711.271	
Alcohol Drinking in College	D000067292	F01.145.317.269.625	
Obesity, Metabolically Benign	D000067329	C18.654.726.500.698|C23.888.144.699.500.250|E01.370.600.115.100.160.120.699.500.375|G07.100.100.160.120.699.500.375	
Whole Grains	D000067348	G07.203.300.300.550.500|G07.203.300.775.500.500|J02.500.300.550.500|J02.500.775.500.500	
Transanal Endoscopic Surgery	D000067368	E01.370.388.250.630.500|E04.210.240.250.680.500|E04.502.250.250.250.680.500|E04.502.250.630.500	D000067369
Transanal Endoscopic Microsurgery	D000067369	E01.370.388.250.630.500.500|E04.210.240.250.680.500.500|E04.494.787|E04.502.250.250.250.680.500.500|E04.502.250.630.500.500	
Cold Injury	D000067390	C26.212	D005627
Personal Protective Equipment	D000067393	E07.700.560|J01.637.708.560	D011481|D004430|D005135|D008397|D009064|D012134|D006260
Nerve Agents	D000067397	D27.720.599|D27.720.777.300.500	
War-Related Injuries	D000067398	C26.946|I01.880.735.950.500.951.500|N06.850.460.350.600.903.500	
Abnormal Involuntary Movement Scale	D000067399	E01.370.600.550.162	
Blood Alcohol Content	D000067401	D02.033.375.135	
Social Communication Disorder	D000067404	F03.625.374.250	
Legal Services	D000067408	I01.880.604.583.482	
Defamation	D000067448	I01.198.240.240|I01.880.735.191.051	
Anger Management Therapy	D000067449	F04.754.137.087	
Psychology, Sports	D000067450	F04.096.628.914	
War Exposure	D000067453	I01.880.735.950.500.951|N06.850.460.350.600.903	D000067398
Childhood-Onset Fluency Disorder	D000067454	F03.625.374.125	
No-Show Patients	D000067455	F01.145.488.500.750|N04.452.758.635.500|N05.300.150.600.600.750	
Cellular Reprogramming Techniques	D000067470	E05.200.500.380|E05.242.378|E05.393.085	D053652|D000069321
Metacognition	D000067489	F02.463.188.756	
Prescription Drug Overuse	D000067490	E02.319.754.750	
Near Miss, Healthcare	D000067491	E02.319.529.750|N02.421.450.500.750|N02.421.450.550|N04.761.700.594|N05.700.513	
RNAi Therapeutics	D000067492	E02.095.301.250	
Dynamic Light Scattering	D000067493	E05.196.822.325	
Time Out, Healthcare	D000067494	N04.761.700.635|N05.700.739	
Healthcare Failure Mode and Effect Analysis	D000067495	E05.318.740.600.800.715.500|N04.452.871.715.400|N05.715.360.750.625.700.690.400|N06.850.505.715.500|N06.850.520.830.600.800.715.500	
Spirit Possession	D000067496	K01.844.619.500	
Crew Resource Management, Healthcare	D000067498	N04.590.254	
Computer Heuristics	D000067508	L01.224.050.375.095	
Ataxins	D000067528	D12.776.631.069|D12.776.660.075	D000067698|D000067699|D000067719|D000067696|D000067736
Alarmins	D000067531	D23.035	
Dermal Fillers	D000067548	D27.720.102.461	
Action Spectrum	D000067549	E05.196.867.826.150	
Diplomacy	D000067551	F01.829.316.171|F02.463.785.373.520.500|I01.738.305	
Mutation Accumulation	D000067552	G05.365.590.594	
Internal Ribosome Entry Sites	D000067556	D13.444.735.790.878.942.250|G02.111.570.080.689.687.093|G05.360.080.689.687.093	
Biological Mimicry	D000067558	G16.012.750	D018716
Specific Learning Disorder	D000067559	F03.625.562.700	
Potentially Inappropriate Medication List	D000067561	N04.761.700.615|N05.700.594	
Late Onset Disorders	D000067562	C23.550.291.883	
Phakopsora pachyrhizi	D000067563	B01.300.179.110	
Farmers	D000067565	M01.526.390	
Culturally Appropriate Technology	D000067568	J01.897.052	
Social Learning	D000067570	F02.784.629.529.663	
Financial Statements	D000067571	N03.219.463.030.140	
Miners	D000067572	M01.526.693	
Chronopharmacokinetics	D000067573	G07.690.725.249	
Administrative Claims, Healthcare	D000067575	N04.452.859.564.137	
Child Health	D000067576	N01.400.225	
Interleukin-33	D000067596	D12.644.276.374.465.850|D12.776.467.374.465.850|D23.529.374.465.850	
S100A12 Protein	D000067616	D12.776.157.125.750.875	
Telopodes	D000067617	A11.284.180.900|A11.329.830.750.500	
Drosophila simulans	D000067636	B01.050.500.131.617.289.310.250.750	
Optimism	D000067656	F01.100.787	
Pessimism	D000067657	F01.100.893	
Ataxin-1	D000067696	D12.776.631.069.500|D12.776.660.075.500	
Adolescent Health	D000067697	N01.400.075	
Ataxin-2	D000067698	D12.776.157.725.452.125|D12.776.631.069.750|D12.776.660.075.750|D12.776.664.962.452.125	
Ataxin-3	D000067699	D08.811.037.250|D12.776.631.069.875|D12.776.660.075.875	
Point-of-Care Testing	D000067716	N04.590.874.500	
Ataxin-7	D000067719	D12.776.631.069.901|D12.776.660.075.900	
Ataxin-10	D000067736	D12.776.631.069.950	
Glucagon-Like Peptide Receptors	D000067756	D12.776.543.750.695.021|D12.776.543.750.750.360.100	D000067758|D000067757
Glucagon-Like Peptide-1 Receptor	D000067757	D12.776.543.750.695.021.500|D12.776.543.750.750.360.100.500	
Glucagon-Like Peptide-2 Receptor	D000067758	D12.776.543.750.695.021.600|D12.776.543.750.750.360.100.600	
Advanced Glycosylation End Product-Specific Receptor	D000067759	D12.776.543.750.006	
RNA Recognition Motif Proteins	D000067776	D12.776.157.725.813|D12.776.664.962.813	D000067878|D000071248|D034441|D051959
ELAV-Like Protein 2	D000067777	D12.776.157.725.813.500.500|D12.776.631.520.500|D12.776.664.962.813.500.500	
ELAV-Like Protein 3	D000067778	D12.776.157.725.813.500.750|D12.776.631.520.750|D12.776.664.962.813.500.750	
ELAV-Like Protein 4	D000067779	D12.776.157.725.813.500.875|D12.776.631.520.875|D12.776.664.962.813.500.875	
ELAV-Like Protein 1	D000067780	D12.776.157.725.813.500.250|D12.776.664.962.813.500.250	
Whey	D000067796	G07.203.100.700.750|G07.203.300.350.525.760|J02.200.700.750|J02.500.350.525.760	D000067816
Whey Proteins	D000067816	D12.776.256.626.816|G07.203.300.350.525.520.500|G07.203.300.350.525.760.500|G07.203.300.428.626.500|J02.500.350.525.520.500|J02.500.350.525.760.500|J02.500.428.626.500	D007782|D007768
Hoarding Disorder	D000067836	F03.080.600.250	
Poly(ADP-ribose) Polymerase Inhibitors	D000067856	D27.505.519.389.739|D27.505.954.248.692	
Autism Spectrum Disorder	D000067877	F03.625.164.113	
CELF Proteins	D000067878	D12.776.157.725.813.250|D12.776.664.962.813.250	D000067879
CELF1 Protein	D000067879	D12.776.157.725.813.250.500|D12.776.664.962.813.250.500	
Industrial Development	D000067896	I01.261.262.500|J01.576.519	
Cloud Computing	D000067917	L01.224.097	
Natural Resources	D000067936	G16.500.275.553|J01.728|N06.230.350	D062066
Glycemic Load	D000067940	G07.203.650.660.750|J01.576.423.850.730.750.750|N06.850.601.750.750	
Adenylyl Cyclase Inhibitors	D000067956	D27.505.519.389.108	
RAW 264.7 Cells	D000067996	A11.251.210.172.875|A11.733.397.815	
Accreditation	D000068	N03.706.110.070|N05.700.200.100	D007591
Clostridiales	D000068016	B03.353.625	D045857|D000070036|D012505|D045856|D010462|D010459|D003013|D005051
Graphic Novels	D000068036	V02.503|V02.700.375	
South Sudan	D000068037	Z01.058.290.120.745	
Motor Disorders	D000068079	F03.608	
Maternal Health	D000068097	N01.400.900.500	
Seed Bank	D000068098	N02.278.065.650	
Trauma and Stressor Related Disorders	D000068099	F03.950	D000275|D040921
Maternal-Child Health Services	D000068101	N02.421.143.130.660|N02.421.143.620.275	
Serine-Arginine Splicing Factors	D000068103	D12.776.157.725.829.500|D12.776.664.962.829.500	
Infant Health	D000068104	N01.400.388	
Bipolar and Related Disorders	D000068105	F03.084	D001714
Gender Dysphoria	D000068116	F03.835.550	
Formative Feedback	D000068156	F02.784.629.529.223|L01.143.283.425.156	
Aripiprazole	D000068180	D03.383.606.170|D03.633.100.810.835.122	
Prunus dulcis	D000068181	B01.650.940.800.575.100.842.500.625.500	
Albumin-Bound Paclitaxel	D000068196	D02.455.426.392.368.242.888.777.500|D02.455.849.291.850.777.500|D12.776.034.073	
Child Protective Services	D000068216	I01.409.418.500|N03.540.400.500	
Social Workers	D000068217	M01.526.919	
Prunus africana	D000068218	B01.650.940.800.575.100.842.500.625.250	
Prunus armeniaca	D000068219	B01.650.940.800.575.100.842.500.625.375	
Prunus avium	D000068220	B01.650.940.800.575.100.842.500.625.400	
Refugium	D000068236	G16.500.275.683|G16.500.819	
Distance Counseling	D000068237	F02.784.176.350|F04.408.413.437|N02.421.143.303.175|N02.421.461.363.437|N04.452.758.849.550.500	
Lubiprostone	D000068238	D10.251.355.325.050.500	
Prunus persica	D000068239	B01.650.940.800.575.100.842.500.625.750	
Data Anonymization	D000068240	H01.770.644.205|L01.209.500|N03.706.437.650.124.160|N04.452.910.200.500	
Personally Identifiable Information	D000068241	I01.880.604.583.080.660	
Prunus domestica	D000068242	B01.650.940.800.575.100.842.500.625.450	
Darbepoetin alfa	D000068256	D12.776.395.240.150.500	
Efavirenz, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination	D000068257	D02.705.429.906.125|D03.383.533.375|D03.383.742.680.245.500.600.125|D03.633.100.759.138.881.125|D26.310.375	
Bevacizumab	D000068258	D12.776.124.486.485.114.224.060.375	
Giraffes	D000068276	B01.050.150.900.649.077.380.443	
Risedronate Sodium	D000068296	D02.705.429.500.830.500	
Fluticasone Propionate, Salmeterol Xinafoate Drug Combination	D000068297	D02.033.100.291.057.750.500|D02.092.063.291.057.750.500|D02.092.471.683.061.750.500|D04.210.500.054.079.129.114.500|D26.310.438	
Fluticasone	D000068298	D04.210.500.054.079.129.114	D000068297
Salmeterol Xinafoate	D000068299	D02.033.100.291.057.750|D02.092.063.291.057.750|D02.092.471.683.061.750	D000068297
Parks, Recreational	D000068316	J03.925.680	
Warfare and Armed Conflicts	D000068336	I01.880.735.950	D014857|D000068337
Armed Conflicts	D000068337	I01.880.735.950.250	D047851|D055826|D047850|D054542|D047828|D047829|D047789|D047788|D047848|D047849|D047832|D047831|D047830|D047869
Everolimus	D000068338	D02.540.505.760.500	
Aspirin, Dipyridamole Drug Combination	D000068342	D02.455.426.559.389.657.410.595.176.500|D03.383.742.175.500|D26.310.125	
Self-Control	D000068356	F01.145.813.595	
Saline Waters	D000068357	G16.500.275.725	D012623
Compassion Fatigue	D000068376	C23.888.369.500.500|F01.145.126.937.500|F01.145.126.990.469|F02.830.900.333	
Plantaginaceae	D000068377	B01.650.940.800.575.100.583.700	D032221|D004070|D036721|D034681|D032161|D032264|D010943|D032263|D032261
Lamiales	D000068378	B01.650.940.800.575.100.583	D027901|D028083|D029601|D000068543|D029648|D000068377|D032241|D032181|D029402|D032267|D029592|D031670|D019686
Clinical Study	D000068397	V03.175	D064888|D016430
Surgical Clearance	D000068436	E01.370.505	
Pemetrexed	D000068437	D03.633.100.759.758.399.454.650|D12.125.067.625.525|D12.125.119.409.525	
Brimonidine Tartrate	D000068438	D03.633.100.857.070	D000068599
Clinical Studies as Topic	D000068456	E05.318.760.250|N05.715.360.775.088|N06.850.520.450.250	D002986|D064887
Beijing	D000068476	Z01.252.474.164.225|Z01.433.114	
African Union	D000068516	I01.615.500.125|N03.540.089	
Firmicutes	D000068536	B03.353	D056449|D004888|D000068016|D046968|D056546|D045854|D045850|D046950|D058845
Dutasteride	D000068538	D04.210.500.925.100.125	
Calceolariaceae	D000068543	B01.650.940.800.575.100.583.190	
Interferon beta-1a	D000068556	D12.644.276.374.440.890.275.500|D12.776.467.374.440.890.275.500|D23.529.374.440.890.275.500	
Olmesartan Medoxomil	D000068557	D03.383.129.308.674|D03.383.129.617.584	D000068558
Amlodipine Besylate, Olmesartan Medoxomil Drug Combination	D000068558	D03.383.129.308.674.500|D03.383.129.617.584.500|D03.383.725.203.065.500|D26.310.063	
Interferon beta-1b	D000068576	D12.644.276.374.440.890.275.750|D12.776.467.374.440.890.275.750|D23.529.374.440.890.275.750	
Nebivolol	D000068577	D02.033.100.291.491|D02.092.063.291.503|D03.383.663.283.755|D03.633.100.150.755	
Celecoxib	D000068579	D02.065.884.247|D02.886.590.700.247|D03.383.129.539.160	
Varenicline	D000068580	D03.633.100.079.900|D03.633.100.857.942	
Tadalafil	D000068581	D03.383.725.150.500|D03.633.100.473.155.500|D03.633.300.154.672	
Certolizumab Pegol	D000068582	D05.750.741.125|D12.644.541.500.650.250|D12.776.124.486.485.114.224.060.500|D12.776.124.486.485.680.650.250|D12.776.124.790.651.114.224.060.500|D12.776.124.790.651.680.650.250|D12.776.377.715.548.114.224.200.500|D12.776.377.715.548.680.650.250|D25.720.741.125|J01.637.051.720.741.125	
Censorship, Research	D000068597	I01.880.604.238|K01.752.566.479.173.200|N05.350.670.250	
Data Accuracy	D000068598	E05.318.308.028|E05.318.780.725.250|L01.280.202|N05.715.360.300.202|N05.715.360.780.685.250	
Brimonidine Tartrate, Timolol Maleate Drug Combination	D000068599	D02.033.100.624.915.500|D02.033.755.624.915.500|D02.092.063.624.915.500|D02.886.675.867.768.500|D03.383.129.708.867.768.500|D03.633.100.857.070.500|D26.310.312	
Albuterol, Ipratropium Drug Combination	D000068600	D02.033.100.291.057.125|D02.092.063.291.057.125|D02.092.471.683.061.125|D02.145.074.722.229.400.500|D03.132.760.180.572.400.500|D03.132.889.180.648.400.500|D03.605.084.500.722.229.400.500|D03.605.869.229.400.500|D26.310.344	
Dual Use Research	D000068601	H01.770.644.217	
Professionalism	D000068616	K01.752.566.479.171.566|N05.350.340.581	
Genetic Background	D000068617	G05.346	
Selective Breeding	D000068618	E05.820.150.760|G05.090.701	
Legendary Creatures	D000068636	I01.076.201.450.515.500	
Mometasone Furoate	D000068656	D04.210.500.745.432.719.526	D000068758
Fallopia multiflora	D000068676	B01.650.940.800.575.100.825.359.590	
Sildenafil Citrate	D000068677	D02.065.884.675|D02.886.590.700.675|D03.383.606.854|D03.633.100.759.824	
Emtricitabine, Rilpivirine, Tenofovir Drug Combination	D000068678	D02.626.809.500|D02.705.429.906.500|D03.383.742.680.245.500.600.500|D03.383.742.755.500|D03.633.100.759.138.881.500|D26.310.407	
Emtricitabine	D000068679	D03.383.742.680.245.500.600|D13.570.230.329.525|D13.570.685.245.500.600	D000068257|D000068678|D000069480|D000069545
Rilpivirine	D000068696	D02.626.809|D03.383.742.755	D000068678
Tenofovir	D000068698	D02.705.429.906|D03.633.100.759.138.881	D000068257|D000068678|D000069480|D000069545
Glatiramer Acetate	D000068717	D12.644.219	
Rosuvastatin Calcium	D000068718	D02.065.884.650|D02.455.526.510.432.500|D02.886.590.700.650|D03.383.742.775	
Duloxetine Hydrochloride	D000068736	D02.886.778.260|D03.383.903.260	
Tolterodine Tartrate	D000068737	D02.033.100.624.706.750|D02.033.755.624.706.750|D02.092.063.624.706.800|D02.455.426.559.389.115.900|D02.455.426.559.389.657.239.756	
Valsartan	D000068756	D03.383.129.617.850|D12.125.070.950.550|D12.125.142.930.500	D000068838
Ononis	D000068757	B01.650.940.800.575.100.401.604	
Mometasone Furoate, Formoterol Fumarate Drug Combination	D000068758	D02.033.100.291.425.500|D02.092.063.291.425.500|D04.210.500.745.432.719.526.500|D26.310.469	
Formoterol Fumarate	D000068759	D02.033.100.291.425|D02.092.063.291.425	D000069502|D000068758
Serotonin and Noradrenaline Reuptake Inhibitors	D000068760	D27.505.519.562.437.693|D27.505.519.625.600.693|D27.505.696.577.600.693	
Sleep Aids, Pharmaceutical	D000068776	D27.505.954.842	D000068796
Orexin Receptor Antagonists	D000068796	D27.505.519.625.663|D27.505.696.577.663|D27.505.954.842.500	
Orexins	D000068797	D12.644.400.360|D12.776.631.650.363	
Hoodia	D000068798	B01.650.940.800.575.100.456.500.389	
Prasugrel Hydrochloride	D000068799	D02.886.778.315|D03.383.606.420|D03.383.903.315	
Etanercept	D000068800	D12.776.124.486.485.114.619.393.261|D12.776.124.790.651.114.619.393.261|D12.776.377.715.548.114.619.393.261|D12.776.543.750.705.852.760.232	
Adapalene, Benzoyl Peroxide Drug Combination	D000068801	D02.241.223.100.133.500|D02.455.426.559.389.127.133.500|D02.455.426.559.847.638.090.500|D04.615.638.090.500|D26.310.032	
Adapalene	D000068816	D02.455.426.559.847.638.090|D04.615.638.090	D000068801
Epoetin Alfa	D000068817	D12.644.276.374.410.240.150.500|D12.776.395.240.150.750|D12.776.467.374.410.240.150.500|D23.529.374.410.240.150.750	
Cetuximab	D000068818	D12.776.124.486.485.114.224.060.750|D12.776.124.790.651.114.224.060.750|D12.776.377.715.548.114.224.200.750	
Hyssopus Plant	D000068819	B01.650.940.800.575.100.583.520.330	
Rivastigmine	D000068836	D02.241.081.251.583.899	
Parmeliaceae	D000068837	B01.300.107.685|B01.300.340.458	D020949
Amlodipine, Valsartan Drug Combination	D000068838	D03.383.129.617.850.500|D03.383.725.203.065.750|D12.125.070.950.550.500|D12.125.142.930.500.500|D26.310.094	
Eugenia	D000068856	B01.650.940.800.575.100.773.374	
Human Papillomavirus Recombinant Vaccine Quadrivalent, Types 6, 11, 16, 18	D000068857	D20.215.894.899.498.500	
Kombucha Tea	D000068858	D20.215.784.844.500|G07.203.100.831.500|J02.200.831.500	
Fingolimod Hydrochloride	D000068876	D02.033.100.700.350|D02.033.455.706.431|D02.092.063.700.350	
Imatinib Mesylate	D000068877	D02.065.277.456|D02.241.223.100.100.435|D02.455.426.559.389.127.085.465|D03.383.606.405|D03.383.742.349	
Trastuzumab	D000068878	D12.776.124.486.485.114.224.060.875|D12.776.124.790.651.114.224.060.875|D12.776.377.715.548.114.224.200.875	
Adalimumab	D000068879	D12.776.124.486.485.114.224.060.250|D12.776.124.790.651.114.224.060.250|D12.776.377.715.548.114.224.200.250	
Isophane Insulin, Human	D000068880	D06.472.699.587.200.300.200.500|D06.472.699.587.200.500.625.500.500|D12.644.548.586.200.300.200.500|D12.644.548.586.200.500.625.500.500	
Animals, Exotic	D000068881	B01.050.050.126	
Paliperidone Palmitate	D000068882	D03.383.129.385.650|D03.383.742.592	
Immunosenescence	D000068884	G07.345.124.390|G12.460.500	
Canagliflozin	D000068896	D02.886.778.075|D03.383.903.075|D09.408.348.113	
Iridescence	D000068897	G01.590.310	
Raltegravir Potassium	D000068898	D03.383.773.812.752	
Sitagliptin Phosphate, Metformin Hydrochloride Drug Combination	D000068899	D02.078.370.141.450.500|D03.383.129.799.725.500|D03.383.679.875.500|D26.310.750	
Sitagliptin Phosphate	D000068900	D03.383.129.799.725|D03.383.679.875	D000068899
Spatial Regression	D000068916	E05.318.740.750.862|E05.318.740.933.375|N05.715.360.750.695.825|N05.715.360.750.746.375|N06.850.520.830.750.862|N06.850.520.830.933.375	
Theranostic Nanomedicine	D000068936	E01.894|E02.921|H01.603.600.500|H02.403.845|J01.897.520.600.600.500	
